id,host_id,name,neighbourhood_cleansed,cluster_kmeans
29118,125230,Best Location in Cool Istedgade,Vesterbro-Kongens Enghave,3
32379,140105,"155 m2 artist flat on Vesterbro, with 2 bathrooms",Vesterbro-Kongens Enghave,2
32841,142143,Cozy flat for Adults/Quiet for kids,sterbro,4
38499,122489,0 min. from everything in Cph.,Indre By,1
39055,167511,Stylish apartment in central Copenhagen,Amager Vest,2
65902,322300,10 min. from city centre on bike,Nrrebro,0
112292,573172,Copenhagen Exclusive,Frederiksberg,1
118649,599145,Charming Center of Copenhagen,Indre By,2
130253,641583,Lovely big room in Copenhagen Ø,sterbro,0
143230,695079,Family home by Christianshavn Canal,Indre By,1
154529,743327,Beautiful Frederiksberg,Frederiksberg,0
155068,745804,Cozy apartment on Vesterbro- Copenhagen,Vesterbro-Kongens Enghave,3
157093,754626,Rooftop app. in cozy nørrebro area,Nrrebro,4
176963,846204,A cosy private room close to center -next to Metro,Vesterbro-Kongens Enghave,3
182227,873477,clean+cosy+calm Carlsbergbyen luxury,Vesterbro-Kongens Enghave,3
186454,896083,Artistic & colourful  apartment.,Vesterbro-Kongens Enghave,3
194022,941790,Penthouse in central CPH,Nrrebro,1
202532,991989,Sunny & spacius flat in hip Nørrebro/Nordvest,Bispebjerg,4
206861,999404,Lovely spacious apartment with balcony,Nrrebro,0
214839,1109269,CopenhagenCosy room in hip Nørrebro,Nrrebro,0
240802,1263184,Copenhagen big top floor apartment,Nrrebro,4
242494,1162404,Frederiksberg - Garden & Fireplace!,Frederiksberg,4
258430,268171,Private Room in Copenhagen SV,Vesterbro-Kongens Enghave,3
262961,1379904,192m2 FLAT+ 8m2 BALCONY IN CENTER NØRREBRO HOOD,Nrrebro,2
263036,1232471,Bright flat in central location,Nrrebro,0
263708,1383888,Urban garden on Vesterbro rooftop,Vesterbro-Kongens Enghave,4
266547,1397851,Bright loft apartment,Nrrebro,1
279685,1458132,Newyorker apartment in central CPH?,Vesterbro-Kongens Enghave,3
