id,cluster_kmeans
29118,5
32379,9
38499,2
39055,9
65902,0
112292,12
118649,9
130253,0
143230,2
154529,12
155068,5
157093,3
176963,0
182227,5
186454,0
194022,3
202532,7
206861,3
214839,0
240802,3
242494,12
258430,0
262961,3
263036,3
263708,5
266547,3
313003,2
313237,4
326898,3
330915,0
338992,0
339126,5
341822,2
343137,12
346877,2
355841,12
369967,12
391758,3
401665,6
432409,2
441719,3
444974,12
454064,9
454605,9
460453,5
461969,5
487549,5
489563,13
495934,9
504029,2
504223,13
514666,6
517272,6
519333,2
523775,3
527702,2
529881,6
530734,1
532209,6
533060,12
534399,5
535179,13
539879,9
547317,9
554546,6
555145,6
560719,12
561883,7
569641,13
570080,3
576523,3
586421,2
586830,5
588917,9
597503,0
598042,5
598936,2
617493,9
623404,0
623736,5
628888,0
629306,6
645357,0
646086,2
648772,1
653083,12
663246,3
666188,10
667842,5
668441,3
670550,9
682701,1
689962,1
691317,2
694393,12
695135,0
695136,0
697046,4
700271,3
705361,5
707226,2
709227,1
711746,6
718831,5
720038,5
721973,2
729171,3
731062,9
734411,5
735068,12
744664,9
748920,5
768646,13
768784,0
768831,14
779739,1
784915,12
792378,6
812320,2
815346,13
820869,2
828245,12
859185,2
867964,3
869809,13
878275,5
882992,3
884518,5
885642,0
888226,5
892273,5
893639,1
894420,2
895117,3
897447,13
897887,0
907655,9
909806,1
911298,2
926867,5
927228,5
935427,13
936678,12
936913,0
938427,12
940284,2
941879,1
944950,13
946970,3
947057,5
956091,0
956185,2
970924,1
973198,2
976307,2
979023,3
979445,10
1000542,7
1001057,3
1004613,5
1011794,13
1011997,13
1025486,0
1031031,9
1031467,6
1038484,12
1040628,3
1047013,12
1055005,6
1057350,3
1062585,4
1066680,12
1076510,13
1079829,2
1083039,3
1085429,4
1094015,3
1097018,6
1097273,5
1098209,9
1105487,12
1107046,6
1112645,5
1115811,1
1117505,3
1120755,5
1121190,2
1122354,3
1122594,3
1125756,1
1128960,0
1130300,3
1133791,2
1143581,6
1146701,4
1151512,6
1157943,12
1161191,3
1162390,12
1163816,3
1167176,0
1178532,3
1182803,3
1194322,10
1200935,5
1205467,12
1206018,3
1207818,2
1208976,6
1211696,6
1212293,2
1213057,7
1218328,0
1227230,2
1230963,3
1234625,3
1235828,3
1238231,12
1239567,5
1243057,9
1248767,2
1250186,5
1251892,9
1272893,7
1277810,13
1279893,9
1281547,2
1282781,2
1291584,12
1293615,3
1293663,5
1294117,13
1294713,3
1301100,5
1302512,3
1306978,12
1308255,3
1312191,2
1312995,2
1316186,3
1326743,5
1329114,3
1329657,3
1339993,9
1340127,9
1343696,1
1344956,6
1346411,3
1346718,1
1347514,2
1349276,12
1361672,13
1362346,3
1366429,3
1382160,2
1389364,6
1389542,3
1390151,2
1392292,2
1394879,2
1402312,5
1405532,3
1414254,2
1423825,0
1442435,4
1454937,9
1457834,5
1461479,2
1487657,12
1496309,6
1503710,5
1519172,3
1533478,6
1556320,2
1557373,0
1560724,12
1577506,0
1577888,2
1578149,12
1583050,5
1588376,3
1592510,4
1602392,7
1606435,2
1618565,13
1623589,5
1632744,6
1636059,1
1644334,12
1653195,2
1660132,1
1668377,2
1669801,5
1677765,6
1679778,12
1680610,3
1710543,1
1714518,2
1717719,9
1726320,12
1727030,1
1746070,5
1753637,5
1765855,3
1771512,12
1794030,0
1796682,5
1800309,7
1816543,2
1825225,3
1826760,2
1834010,2
1843185,2
1875627,2
1878554,6
1880384,6
1899884,5
1908371,12
1947819,6
2004752,2
2007532,0
2007950,2
2014951,2
2039980,3
2053949,12
2062148,3
2066635,3
2078840,5
2095232,13
2105899,10
2129370,5
2133401,9
2134417,13
2137852,9
2147342,2
2164189,9
2200398,2
2200485,3
2222260,2
2245824,9
2254890,4
2261464,2
2271817,3
2282736,2
2297487,4
2323159,4
2323747,12
2332269,5
2350554,5
2350723,5
2360896,9
2362677,1
2370736,6
2378723,3
2381707,4
2388253,7
2403733,12
2430907,5
2442579,5
2452011,2
2463144,0
2465786,7
2474884,9
2480731,9
2482618,9
2485227,0
2493237,4
2505649,5
2506318,3
2511838,12
2512537,5
2520615,2
2522519,1
2527186,13
2529055,2
2552738,2
2561650,2
2575269,12
2587820,5
2589687,3
2592359,6
2604394,2
