,Review
20,Our only regret is that we didn't have time to use the kayaks provided by Cecilie
143,Poor location and neighbourhood
175,Would have liked the interior to be a bit cleaner because it pretty much feels like your staying in a bachelor’s pad
177,but we don’t want or expect that for an AirBnB
237,"Neighbours are a little noisy early in the morning, which didn't let us to keep sleeping"
238,"And lastly, the key box wasn't easy to find in the dark night, as it supposed to be right behind the post box but in fact is tied to the cycles bar, close to the ground"
289,<br/>one of the bedrooms doesnt have a window and was very small
290,there were no clothing hangers nor hooks anywhere to hang our clothes
312,There is no entertainment
313,no TV is mentioned in the advert but there is no ability to play music etc
