,Review
26406,Cannot be recommend enough
114370,Cannot recommendation enough
114229,Could not have been a better experience
96360,<br/>Could not recommend highly enough
34336,"i love the house with flowers, only the washing machine is not really useful for us, maybe because of our poor danish"
75355,"If you want a ""homestay"" that is actually just some corporate landlord renting out a bland apartment, this is NOT for you, but if you want to really feel like you're a guest in someone's beautiful home, this is perfect"
22075,I honestly cannot imaging better accommodations
82792,"We could not fault the metro, it puts public transport in the UK to shame, on time, clean and easy to follow"
132684,Such a lovely flat where the pictures don’t do it justice
82671,What we didn't appreciate prior to booking was how great the location was
